Student_ID;Age;Gender;Family_Income;Internet_Access;Study_Hours_per_Day;Attendance_Rate;Assignment_Delay_Days;Travel_Time_Minutes;Part_Time_Job;Scholarship;Stress_Index;GPA;Semester_GPA;CGPA;Semester;Department;Parental_Education;Dropout
1;22.01;Male;25000.0;Yes;03.36;86.01.00;2;20.04;Yes;No;05.05;0,066666667;00.09;00.09;Year 1;Arts;High School;0
2;20.07;Male;25000.0;Yes;04.03;68.00.00;2;44.00.00;No;No;06.08;01.28;01.02;01.19;Year 3;Engineering;Bachelor;1
3;22.04;Male;40183.0;Yes;04.04;70.09.00;0;48.09.00;Yes;No;05.05;0,088888889;01.32;01.32;Year 1;Arts;Master;0
4;24.04.00;Male;;Yes;;82.02.00;2;38.06.00;No;No;;0,095833333;0,095138889;0,095138889;Year 1;CS;High School;1
5;20.05;Female;25319.0;Yes;04.19;75.07.00;1;23.00;No;No;07.00;01.48;0,063194444;0,060416667;Year 4;Business;Bachelor;0
6;20.05;Male;25000.0;Yes;04.11;89.01.00;2;47.01.00;No;Yes;06.00;02.52;0,133333333;0,13125;Year 3;Business;None;0
7;24.05.00;Male;25000.0;Yes;03.00;78.02.00;1;37.04.00;Yes;Yes;07.03;0,044444444;00.33;00.44;Year 4;CS;Bachelor;0
8;22.07;Female;25000.0;Yes;02.12;86.04.00;1;34.00.00;No;Yes;06.05;0,096527778;01.14;01.14;Year 1;Arts;High School;0
9;20.00;Male;57413.0;Yes;04.07;97.05.00;3;52.01.00;No;No;04.02;03.08;0,139583333;0,139583333;Year 1;CS;High School;0
10;22.02;Female;44930.0;Yes;0,151388889;82.02.00;1;19.07;No;No;06.07;01.59;0,092361111;0,092361111;Year 1;Science;Master;0
11;20.00;Female;25000.0;Yes;05.27;73.09.00;3;39.03.00;Yes;No;07.02;01.52;01.05;01.46;Year 3;Business;Bachelor;1
12;20.00;Male;46056.0;Yes;02.37;85.02.00;6;20.02;Yes;Yes;08.00;00.00;00.15;00.15;Year 2;Engineering;Bachelor;1
13;21.05;Female;50644.0;Yes;03.54;84.03.00;1;22.07;No;Yes;04.06;02.56;0,128472222;0,133333333;Year 4;CS;None;0
14;17.00;Female;27000.0;Yes;04.02;84.00.00;1;61.02.00;No;Yes;04.08;0,130555556;02.07;02.07;Year 1;Business;Bachelor;0
15;17.02;Male;;Yes;;92.09.00;1;36.00.00;Yes;No;;02.06;0,136805556;0,147222222;Year 3;Engineering;Bachelor;0
16;19.08;Male;26246.0;No;03.49;72.05.00;2;52.02.00;No;No;07.00;0,139583333;03.15;03.15;Year 1;Arts;Master;0
17;18.08;Female;28037.0;Yes;04.24;90.00.00;2;36.05.00;No;Yes;04.06;02.55;02.02;02.02;Year 1;Engineering;High School;0
18;21.07;Female;25000.0;Yes;04.08;77.02.00;0;34.08.00;Yes;Yes;04.03;0,110416667;01.08;0,095833333;Year 4;Business;Master;0
19;19.00;Female;37058.0;Yes;0,235416667;93.00.00;2;22.05;No;No;04.07;03.25;03.59;03.59;Year 1;Arts;Bachelor;0
20;17.09;Male;35168.0;Yes;04.48;65.00.00;1;41.07.00;No;No;05.06;0,090972222;0,085416667;0,085416667;Year 1;Business;Bachelor;1
21;24.02.00;Female;38833.0;Yes;06.35;99.08.00;2;30.03.00;No;Yes;03.09;0,127083333;02.23;02.23;Year 1;CS;Bachelor;0
22;20.05;Male;35149.0;Yes;03.48;79.08.00;0;31.00.00;Yes;No;06.03;02.09;02.01;02.00;Year 3;Arts;Master;0
23;21.01;Female;46069.0;Yes;06.25;72.03.00;2;26.09.00;Yes;Yes;02.04;04.00;04.00;0,188888889;Year 3;CS;Bachelor;0
24;17.09;Female;26700.0;Yes;04.09;89.03.00;3;28.08.00;No;Yes;04.00;03.14;03.11;03.04;Year 4;Business;Bachelor;0
25;19.08;Female;33559.0;Yes;04.32;86.01.00;3;30.03.00;Yes;No;05.08;00.42;00.39;00.43;Year 4;Business;PhD;1
26;21.02;Female;25000.0;Yes;04.42;85.06.00;2;31.05.00;No;No;03.08;03.47;03.07;0,170833333;Year 2;CS;Master;0
27;18.05;Female;25000.0;Yes;05.22;89.04.00;0;29.04.00;No;No;04.07;0,0875;0,095138889;0,088194444;Year 3;Science;Bachelor;0
28;21.08;Female;66367.0;Yes;03.07;82.03.00;4;11.03;No;No;05.03;01.01;0,063194444;0,056944444;Year 3;CS;High School;0
29;19.07;Male;25000.0;Yes;04.19;79.07.00;1;36.05.00;Yes;No;09.03;01.15;0,053472222;0,052777778;Year 3;Business;High School;0
30;20.04;Female;;No;;72.07.00;3;28.05.00;No;No;;0,1375;03.03;03.03;Year 1;CS;High School;0
31;19.07;Female;25000.0;Yes;06.08;81.01.00;7;05.00;Yes;No;05.09;0,191666667;03.08;0,181944444;Year 4;CS;Bachelor;0
32;25.01.00;Male;;Yes;;77.09.00;3;10.09;No;Yes;;02.56;02.04;02.48;Year 3;Science;Bachelor;1
33;21.00;Male;34785.0;Yes;06.06;81.09.00;2;24.03.00;No;No;03.06;0,168055556;03.52;03.53;Year 4;Arts;PhD;0
34;18.07;Male;;Yes;;67.09.00;1;45.03.00;Yes;Yes;;0,086111111;0,089583333;0,086805556;Year 3;Arts;Bachelor;0
35;22.08;Female;25000.0;Yes;02.19;95.09.00;2;37.03.00;Yes;Yes;05.02;0,052777778;00.14;00.02;Year 3;Science;Bachelor;0
36;18.03;Female;;Yes;;61.00.00;1;21.08;No;Yes;;0,05625;0,066666667;0,067361111;Year 3;Arts;Bachelor;1
37;21.05;Male;26034.0;No;02.09;80.09.00;1;27.07.00;No;Yes;07.06;0,084027778;01.41;01.45;Year 4;Business;Bachelor;0
38;17.00;Female;25000.0;Yes;06.16;78.05.00;0;43.03.00;No;No;04.07;0,170833333;03.35;03.42;Year 2;Science;High School;0
39;18.01;Male;77705.0;Yes;02.25;70.08.00;1;22.06;No;No;05.00;02.16;0,104861111;02.01;Year 2;Business;None;0
40;21.04;Female;;Yes;;85.00.00;3;17.00;Yes;No;;03.01;03.57;03.55;Year 2;Business;Master;0
41;22.06;Male;25000.0;No;0,271527778;74.05.00;2;40.06.00;No;No;05.06;02.29;02.36;02.35;Year 2;Engineering;Bachelor;0
